program,degree,enrollment_plan,price_2025_year,price_prop1_year,price_prop1_total,price_prop2_year,price_prop2_total,true_price_total,true_price_year,true_price_usd,kpi800_contract,kpi800_grant,kpi800_state,kpi800_total,kpi800_grant_pct,kpi700_contract,kpi700_grant,kpi700_total,price_2025_total_bachelor,price_2025_total_master
Право,bachelor,32,440000.0,541800,0.23136363636363644,602000.0,0.36818181818181817,1204000,301000.0,7000,16.0,10.0,6,32.0,0.3125,,14.0,6,1760000.0,880000.0
Психологія,bachelor,56,440000.0,541800,0.23136363636363644,602000.0,0.36818181818181817,1204000,301000.0,7000,35.0,6.0,9,50.0,0.12,,32.0,9,1760000.0,880000.0
Бізнес-економіка,bachelor,122,530000.0,619200,0.16830188679245284,688000.0,0.29811320754716975,1376000,344000.0,8000,90.0,10.0,11,111.0,0.09009009009009009,,80.0,11,2120000.0,1060000.0
Економіка і великі дані,bachelor,57,440000.0,541800,0.23136363636363644,602000.0,0.36818181818181817,1204000,301000.0,7000,34.0,15.299999999999999,11,60.3,0.2537313432835821,,32.0,11,1760000.0,880000.0
Програмна інженерія,bachelor,59,570000.0,619200,0.08631578947368412,688000.0,0.2070175438596491,1376000,344000.0,8000,28.0,20.0,18,66.0,0.30303030303030304,,26.0,18,2280000.0,1140000.0
Кібербезпека,bachelor,38,530000.0,541800,0.022264150943396288,602000.0,0.13584905660377355,1204000,301000.0,7000,25.0,14.4,6,45.4,0.31718061674008813,,22.0,6,2120000.0,1060000.0
Штучний інтелект,bachelor,40,530000.0,541800,0.022264150943396288,602000.0,0.13584905660377355,1204000,301000.0,7000,20.0,18.0,22,60.0,0.3,,18.0,22,2120000.0,1060000.0
Прикладна математика,bachelor,23,350000.0,361200,0.03200000000000003,481600.0,0.3759999999999999,1204000,301000.0,7000,7.6,11.0,11,29.6,0.3716216216216216,,5.6,11,1400000.0,700000.0
Фізична математика,bachelor,6,350000.0,361200,0.03200000000000003,481600.0,0.3759999999999999,1204000,301000.0,7000,5.0,15.0,0,20.0,0.75,,3.0,0,1400000.0,700000.0
Інжиніринг інноваційного виробництва,bachelor,0,,412800,,550400.0,,1376000,344000.0,8000,5.0,15.0,0,20.0,0.75,,3.0,0,,
Дельта інженерія,bachelor,0,,412800,,550400.0,,1376000,344000.0,8000,10.0,20.0,0,30.0,0.6666666666666666,,8.0,0,,
Публічна політика та врядування,master,77,225000.0,270900,0.20399999999999996,270900.0,0.20399999999999996,387000,,9000,16.0,26.0,8,50.0,0.52,,14.0,8,900000.0,450000.0
Дослідження пам’яті та публічна історія,master,22,140000.0,172000,0.22857142857142865,240799.99999999997,0.7199999999999998,344000,,8000,5.0,10.0,6,21.0,0.47619047619047616,,4.0,6,560000.0,280000.0
Соціальна психологія,master,49,225000.0,270900,0.20399999999999996,270900.0,0.20399999999999996,387000,,9000,15.0,10.0,7,32.0,0.3125,,14.0,7,900000.0,450000.0
Урбаністика та повоєнна відбудова,master,23,225000.0,270900,0.20399999999999996,270900.0,0.20399999999999996,387000,,9000,6.0,9.9,8,23.9,0.41422594142259417,,4.0,8,900000.0,450000.0
Біоінформатика та аналіз біомедичних даних,master,17,225000.0,258000,0.14666666666666672,301000.0,0.33777777777777773,430000,,10000,6.0,4.5,0,10.5,0.42857142857142855,,4.0,0,900000.0,450000.0
Математика,master,8,225000.0,232200,0.03200000000000003,232200.0,0.03200000000000003,387000,,9000,0.0,10.0,0,10.0,1.0,,0.0,0,900000.0,450000.0
Економічнй аналіз,master,38,240000.0,270900,0.12874999999999992,270900.0,0.12874999999999992,387000,,9000,10.0,15.0,0,25.0,0.6,,8.0,0,960000.0,480000.0
Економіка бізнесу і фінансів,master,25,270000.0,301000,0.11481481481481493,301000.0,0.11481481481481493,430000,,10000,15.0,0.0,8,23.0,0.0,,10.0,8,1080000.0,540000.0
Мікро- та наноелектроніка,master,15,150000.0,172000,0.14666666666666672,172000.0,0.14666666666666672,430000,,10000,10.0,10.0,0,20.0,0.5,,8.0,0,600000.0,300000.0
Безпілотні літальні апарати,master,93,150000.0,172000,0.14666666666666672,172000.0,0.14666666666666672,430000,,10000,40.0,21.0,0,61.0,0.3442622950819672,,38.0,0,600000.0,300000.0
